"t" "B_HF_Mean" "B_HF_sd" "B_HM_Mean" "B_HM_sd" "B_MSM_Mean" "B_MSM_sd" "HF_Mean" "HF_sd" "HM_Mean" "HM_sd" "MSM_Mean" "MSM_sd" "Total_Mean" "Total_sd" "W_HF_Mean" "W_HF_sd" "W_HM_Mean" "W_HM_sd" "W_MSM_Mean" "W_MSM_sd"
"107" 106 0 0 0 0 0 0 3 2.21735578260835 2.84 2.1540659228538 0 0 5.84 3.62491379207837 3 2.21735578260835 2.84 2.1540659228538 0 0
"108" 107 0 0 0 0 0 0 3.44 2.51793566240283 2.44 1.73397424048533 0 0 5.88 3.72290209379726 3.44 2.51793566240283 2.44 1.73397424048533 0 0
"109" 108 0 0 0 0 0 0 3.4 2.59807621135332 3 2.64575131106459 0 0 6.4 4.3493294502333 3.4 2.59807621135332 3 2.64575131106459 0 0
"110" 109 0 0 0 0 0 0 3.24 2.65015722804013 2.64 2.28910462845192 0 0 5.88 4.39052009068022 3.24 2.65015722804013 2.64 2.28910462845192 0 0
"111" 110 0 0 0 0 0 0 2.44 2.46779253585061 2.8 2.17944947177034 0 0 5.24 4.34242635708041 2.44 2.46779253585061 2.8 2.17944947177034 0 0
"112" 111 0 0 0 0 0 0 2.48 1.50332963783729 2.28 1.3076696830622 0 0 4.76 1.96383977622072 2.48 1.50332963783729 2.28 1.3076696830622 0 0
"113" 112 0 0 0 0 0 0 2.56 1.78138522878498 2.48 2.3473389188611 0 0 5.04 3.72469238103408 2.56 1.78138522878498 2.48 2.3473389188611 0 0
"114" 113 0 0 0 0 0 0 2.48 2.14320632075713 2.52 1.89560896108172 0 0 5 3.51188458428425 2.48 2.14320632075713 2.52 1.89560896108172 0 0
"115" 114 0 0 0 0 0 0 2.24 1.89912260443255 2.52 1.89560896108172 0 0 4.76 3.07245829914744 2.24 1.89912260443255 2.52 1.89560896108172 0 0
"116" 115 0 0 0 0 0 0 2.92 2.69134414992459 3 1.89296944860009 0 0 5.92 4.0303018910912 2.92 2.69134414992459 3 1.89296944860009 0 0
"117" 116 0 0 0 0 0 0 2.72 1.86010752377383 2.12 2.14709105535839 0 0 4.84 3.32515663791447 2.72 1.86010752377383 2.12 2.14709105535839 0 0
"118" 117 0 0 0 0 0 0 2.84 2.93938769133981 2.92 2.3079572497485 0 0 5.76 5.06030302122972 2.84 2.93938769133981 2.92 2.3079572497485 0 0
"119" 118 0 0 0 0 0 0 2.44 2.59935889531759 2.68 1.9731531449265 0 0 5.12 3.86566078870525 2.44 2.59935889531759 2.68 1.9731531449265 0 0
"120" 119 0 0 0 0 0 0 3 2.38047614284762 2.36 1.97652894404981 0 0 5.36 3.70675059857013 3 2.38047614284762 2.36 1.97652894404981 0 0
"121" 120 0 0 0 0 0 0 2.8 2.25462487641145 2.4 1.95789002074512 0 0 5.2 3.46410161513775 2.8 2.25462487641145 2.4 1.95789002074512 0 0
