seed	t	Total	W_HM	B_HM	HM	W_HF	B_HF	HF	W_MSM	B_MSM	MSM
137780	120	2	1	0	1	1	0	1	0	0	0
424128	0	0	0	0	0	0	0	0	0	0	0
424128	1	3	2	0	2	1	0	1	0	0	0
424128	2	0	0	0	0	0	0	0	0	0	0
424128	3	1	0	0	0	1	0	1	0	0	0
424128	4	0	0	0	0	0	0	0	0	0	0
424128	5	0	0	0	0	0	0	0	0	0	0
424128	6	1	0	0	0	1	0	1	0	0	0
424128	7	0	0	0	0	0	0	0	0	0	0
424128	8	1	0	0	0	1	0	1	0	0	0
424128	9	0	0	0	0	0	0	0	0	0	0
424128	10	2	0	0	0	2	0	2	0	0	0
424128	11	1	1	0	1	0	0	0	0	0	0
424128	12	1	1	0	1	0	0	0	0	0	0
424128	13	1	0	0	0	1	0	1	0	0	0
424128	14	0	0	0	0	0	0	0	0	0	0
424128	15	0	0	0	0	0	0	0	0	0	0
424128	16	0	0	0	0	0	0	0	0	0	0
424128	17	0	0	0	0	0	0	0	0	0	0
424128	18	0	0	0	0	0	0	0	0	0	0
424128	19	0	0	0	0	0	0	0	0	0	0
424128	20	1	1	0	1	0	0	0	0	0	0
424128	21	1	0	0	0	1	0	1	0	0	0
424128	22	1	0	0	0	1	0	1	0	0	0
424128	23	0	0	0	0	0	0	0	0	0	0
424128	24	1	1	0	1	0	0	0	0	0	0
424128	25	0	0	0	0	0	0	0	0	0	0
424128	26	3	2	0	2	1	0	1	0	0	0
424128	27	2	2	0	2	0	0	0	0	0	0
424128	28	0	0	0	0	0	0	0	0	0	0
424128	29	0	0	0	0	0	0	0	0	0	0
424128	30	1	1	0	1	0	0	0	0	0	0
424128	31	1	0	0	0	1	0	1	0	0	0
424128	32	3	1	0	1	2	0	2	0	0	0
424128	33	1	0	0	0	1	0	1	0	0	0
424128	34	1	1	0	1	0	0	0	0	0	0
424128	35	4	1	0	1	3	0	3	0	0	0
424128	36	2	1	0	1	1	0	1	0	0	0
424128	37	1	1	0	1	0	0	0	0	0	0
424128	38	1	0	0	0	1	0	1	0	0	0
424128	39	3	2	0	2	1	0	1	0	0	0
424128	40	2	1	0	1	1	0	1	0	0	0
424128	41	2	2	0	2	0	0	0	0	0	0
424128	42	3	1	0	1	2	0	2	0	0	0
424128	43	7	3	0	3	4	0	4	0	0	0
424128	44	10	5	0	5	5	0	5	0	0	0
424128	45	11	5	0	5	6	0	6	0	0	0
424128	46	10	5	0	5	5	0	5	0	0	0
424128	47	10	5	0	5	5	0	5	0	0	0
424128	48	11	4	0	4	7	0	7	0	0	0
424128	49	13	5	0	5	8	0	8	0	0	0
424128	50	13	7	0	7	6	0	6	0	0	0
424128	51	6	3	0	3	3	0	3	0	0	0
424128	52	10	3	0	3	7	0	7	0	0	0
424128	53	12	5	0	5	7	0	7	0	0	0
424128	54	8	3	0	3	5	0	5	0	0	0
424128	55	9	3	0	3	6	0	6	0	0	0
424128	56	9	4	0	4	5	0	5	0	0	0
424128	57	14	10	0	10	4	0	4	0	0	0
424128	58	17	8	0	8	9	0	9	0	0	0
424128	59	30	14	0	14	16	0	16	0	0	0
424128	60	20	8	0	8	12	0	12	0	0	0
424128	61	22	10	0	10	12	0	12	0	0	0
424128	62	21	10	0	10	11	0	11	0	0	0
